AMA,AMARILLO,AMR,AMARILLO
STD,STAR DENIM,AZU,AZUL
ROB,ROYAL BLUE,AZU,AZUL
NYG,NAVY GUM,AZU,AZUL
NVY,NAVY,AZU,AZUL
NVW,NAVY/WHITE,AZU,AZUL
NVB,NAVY BLUE,AZU,AZUL
NTD,NAVY/TIE DYE,AZU,AZUL
NRE,NEON RED,AZU,AZUL
JLA,JEAN LAVADO,AZU,AZUL
IKB,INK BLUE,AZU,AZUL
FPA,FULL PRINT AZUL,AZU,AZUL
DNM,DENIM,AZU,AZUL
DBL,DOT BLUE,AZU,AZUL
BUA,BULGARO AZUL,AZU,AZUL
BTR,BLUE TROPICAL,AZU,AZUL
BNV,BLUE NAVY,AZU,AZUL
BLU,BLUE,AZU,AZUL
BCK,BLUE/BLACK,AZU,AZUL
BAP,BLUE AOP,AZU,AZUL
AZU,AZUL,AZU,AZUL
AZT,AZUL/TABACO,AZU,AZUL
AZM,AZUL MARINO,AZU,AZUL
AZF,AZUL FRANCIA,AZU,AZUL
AZC,AZUL/CUERO,AZU,AZUL
AVG,AZUL VIGORE,AZU,AZUL
ATB,AZUL/TABACO,AZU,AZUL
AGA,AZUL GASTADO,AZU,AZUL
VIS,VISON,BEI,BEIGE
KHA,KHAKI,BEI,BEIGE
DKK,DARK KHAKI,BEI,BEIGE
WHI,WHITE,BLA,BLANCO
OFW,OFF WHITE,BLA,BLANCO
MGW,MID GRAY / WHITE,BLA,BLANCO
IWH,INSIGNIA/WHITE,BLA,BLANCO
EWH,ESPRESSO/WHITE,BLA,BLANCO
CWH,CARAMEL/WHITE,BLA,BLANCO
BPW,BLACK PRINT/WHITE,BLA,BLANCO
BLN,BLANCO/NEGRO,BLA,BLANCO
BLA,BLANCO,BLA,BLANCO
TRQ,TURQUOISE,CEL,CELESTE
BAC,BLACK ACQUA,CEL,CELESTE
AQU,AQUA,CEL,CELESTE
ANN,AZULINO/NEG/NAR,CEL,CELESTE
SCW,SCARAB/WHITE,GRS,GRIS
SCL,SALPICADO CLARO,GRS,GRIS
NGR,NEGRO/GRIS,GRS,GRIS
LGR,LEOPARDO GRIS,GRS,GRIS
GRS,GREY,GRS,GRIS
GRY,GREY,GRS,GRIS
GRI,GRIS,GRS,GRIS
GPR,GREY PRINT,GRS,GRIS
GME,GRIS MELANGE,GRS,GRIS
GAO,GREY AOP,GRS,GRIS
CZC,CENIZA/CHILLI,GRS,GRIS
CGR,CEMENT GREY,GRS,GRIS
WLE,WAXED LEATHER,MAR,MARRON
HAB,HABANA,MAR,MARRON
EAN,ESPRESSO/ANTIQUE,MAR,MARRON
CHO,CHOCOLATE,MAR,MARRON
BWN,BROWN,MAR,MARRON
BNG,BROWN/GUM,MAR,MARRON
ORA,ORANGE,NAR,NARANJA
NAR,NARANJA,NAR,NARANJA
WBL,WAXED BLACK,NEG,NEGRO
NRO,NEGRO/ROSA,NEG,NEGRO
NOP,NEGRO ANIMAL PRINT,NEG,NEGRO
NIR,NEGRO IRON,NEG,NEGRO
NEM,NEGRO MATE,NEG,NEGRO
NEG,NEGRO,NEG,NEGRO
NBL,NEGRO/BLANCO,NEG,NEGRO
FBL,FULL BLACK,NEG,NEGRO
FAD,FULL ACID,NEG,NEGRO
DTB,DOT BLACK,NEG,NEGRO
DOT,DOT,NEG,NEGRO
CRN,CRUDO/NEGRO,NEG,NEGRO
BTD,BLACK/TIE DYE,NEG,NEGRO
BSO,BLACK SOLID,NEG,NEGRO
BOT,BLACK OUT,NEG,NEGRO
BLW,BLACK/WHITE,NEG,NEGRO
BLK,BLACK,NEG,NEGRO
BKT,BLACKOUT 2.0,NEG,NEGRO
BGU,BLACK/GUM,NEG,NEGRO
BGC,BLACK/GREY CHAMBRAY,NEG,NEGRO
BAO,BLACK AOP,NEG,NEGRO
BAH,BLACK/ASH,NEG,NEGRO
ASS,ASSORTED,NUL,NULO
VEG,VEGETAL,PRT,MULTICOLOR
SUN,SUNSET,PRT,MULTICOLOR
RAS,RASTA,PRT,MULTICOLOR
PRN,PRINT/NEGRO,PRT,MULTICOLOR
ORG,ORANGE GREEN T,PRT,MULTICOLOR
MUL,MULTICOLOR,PRT,MULTICOLOR
MMI,MIAMI,PRT,MULTICOLOR
LEO,LEOPARDO,PRT,MULTICOLOR
GLW,GLOW,PRT,MULTICOLOR
FTR,FULL TROPICAL,PRT,MULTICOLOR
FPR,FULL PRINT ROJO,PRT,MULTICOLOR
FPP,FULL PRINT PUNTITOS,PRT,MULTICOLOR
FLV,FLORES VERDES,PRT,MULTICOLOR
FLR,FLOREADO,PRT,MULTICOLOR
CPR,CAMEL PRINT,PRT,MULTICOLOR
CAF,CAMUFLADO,PRT,MULTICOLOR
BAT,BATIK,PRT,MULTICOLOR
ROJ,ROJO,ROJ,ROJO
RED,RED,ROJ,ROJO
RDA,RED AOP,ROJ,ROJO
MSL,MARSALA,ROJ,ROJO
BXP,BORDEAUX PRINT,ROJ,ROJO
BUR,BURGUNDY,ROJ,ROJO
BRD,BORDO,ROJ,ROJO
BCE,BORDO/CELESTE,ROJ,ROJO
HPK,HOT PINK,ROS,ROSA
FLP,FULL PRUSIA,ROS,ROSA
TRA,TRANSPARENTE,TRS,TRANSPARENTE
UNI,UNICO,UNI,UNICO
VER,VERDE,VER,VERDE
PEW,PEWTER / WHITE,VER,VERDE
NCA,NEGRO/CAMO,VER,VERDE
MIN,MINT,VER,VERDE
GRF,GREEN FLOWERS,VER,VERDE
GRE,GREEN,VER,VERDE
GPT,GREEN PRINT,VER,VERDE
GAP,GREEN AOP,VER,VERDE
FCM,FULL CAMO,VER,VERDE
BFP,BLACK/FLOWER PRINT,PRT,MULTICOLOR
BLP,BLACK/BLACK PRINT,NEG,NEGRO
BPT,BLACK PRINT,NEG,NEGRO
WPT,WHITE PRINT,BLA,BLANCO
